JnlTranID,Zip Code,DATE
15982138,46825,11/21/2014
15982141,77075,11/21/2014
15982142,46231,11/21/2014
15982145,46250,11/21/2014
15982146,46032,11/21/2014
15982147,46158,11/21/2014
15982161,46228,11/21/2014
15982162,46240,11/21/2014
15982173,46227,11/21/2014
15982175,46060,11/21/2014
15982213,46304,11/21/2014
15982216,63304,11/21/2014
15982238,98349,11/21/2014
15982249,46151,11/21/2014
15982254,46228,11/21/2014
15982269,47001,11/21/2014
15982307,10469,11/21/2014
15982312,60521,11/21/2014
15982318,2061,11/21/2014
15982337,61951,11/21/2014
15982338,46220,11/21/2014
15982343,46268,11/21/2014
15982347,46220,11/21/2014
15982348,46140,11/21/2014
15982349,46220,11/21/2014
15982352,46220,11/21/2014
15982355,46220,11/21/2014
15982357,46123,11/21/2014
15982359,46236,11/21/2014
15982363,47374,11/21/2014
15982373,46240,11/21/2014
15982380,46227,11/21/2014
15982386,46123,11/21/2014
15982405,85254,11/21/2014
15982407,30135,11/21/2014
15982463,96822,11/21/2014
15982465,46228,11/21/2014
15982481,34223,11/21/2014
15982489,7950,11/21/2014
15982497,46041,11/21/2014
15982501,46151,11/21/2014
15982505,46226,11/21/2014
15982511,46135,11/21/2014
15982519,29601,11/21/2014
15982520,93012,11/21/2014
15982563,46590,11/21/2014
15982564,60133,11/21/2014
15982565,47203,11/21/2014
15982566,47905,11/21/2014
15982571,47203,11/21/2014
15982579,13813,11/21/2014
15982588,46202,11/21/2014
15982595,46208,11/21/2014
15982603,46158,11/21/2014
15982606,46260,11/21/2014
15982609,46733,11/21/2014
15982615,47401,11/21/2014
15982620,46236,11/21/2014
15982623,47305,11/21/2014
15982706,47404,11/21/2014
15982717,46219,11/21/2014
15982744,46167,11/21/2014
15982745,46167,11/21/2014
15982746,46228,11/21/2014
15982747,46234,11/21/2014
15982753,46142,11/21/2014
15982754,46228,11/21/2014
15982755,46228,11/21/2014
15982758,46204,11/21/2014
15982767,47401,11/21/2014
15982769,47401,11/21/2014
15982773,46219,11/21/2014
15982774,46163,11/21/2014
15982775,46260,11/21/2014
15982785,46204,11/21/2014
15982791,46205,11/21/2014
15982798,46203,11/21/2014
15982800,46032,11/21/2014
15982886,46280,11/21/2014
15982887,46250,11/21/2014
15982889,46220,11/21/2014
15982892,47229,11/21/2014
15982895,46205,11/21/2014
15982896,46220,11/21/2014
15982898,46205,11/21/2014
15982957,46035,11/22/2014
15982990,46143,11/22/2014
15983004,60143,11/22/2014
15983011,46342,11/22/2014
15983012,46323,11/22/2014
15983022,37052,11/22/2014
15983023,31065,11/22/2014
15983028,46207,11/22/2014
15983031,46220,11/22/2014
15983033,46260,11/22/2014
15983035,46229,11/22/2014
15983036,46220,11/22/2014
15983037,92815,11/22/2014
15983038,92812,11/22/2014
15983040,47037,11/22/2014
15983041,46250,11/22/2014
15983043,46205,11/22/2014
15983045,80013,11/22/2014
15983047,46936,11/22/2014
15983063,47905,11/22/2014
15983065,46201,11/22/2014
15983066,46240,11/22/2014
15983078,46077,11/22/2014
15983096,60047,11/22/2014
15983097,46220,11/22/2014
15983100,46123,11/22/2014
15983104,47203,11/22/2014
15983106,46203,11/22/2014
15983108,46123,11/22/2014
15983109,60645,11/22/2014
15983110,46218,11/22/2014
15983113,46208,11/22/2014
15983114,46077,11/22/2014
15983115,46220,11/22/2014
15983117,46220,11/22/2014
15983118,46203,11/22/2014
15983119,46225,11/22/2014
15983120,46229,11/22/2014
15983122,46202,11/22/2014
15983123,46240,11/22/2014
15983124,46203,11/22/2014
15983127,46038,11/22/2014
15983130,46268,11/22/2014
15983131,62704,11/22/2014
15983132,46240,11/22/2014
15983135,46123,11/22/2014
15983137,33469,11/22/2014
15983138,33410,11/22/2014
15983140,61081,11/22/2014
15983141,46250,11/22/2014
15983147,46122,11/22/2014
15983148,46241,11/22/2014
15983151,47448,11/22/2014
15983152,46202,11/22/2014
15983153,46901,11/22/2014
15983154,46260,11/22/2014
15983156,46256,11/22/2014
15983164,46260,11/22/2014
15983166,46970,11/22/2014
15983169,46220,11/22/2014
15983170,60014,11/22/2014
15983171,46205,11/22/2014
15983174,46220,11/22/2014
15983176,46205,11/22/2014
15983177,46241,11/22/2014
15983179,48188,11/22/2014
15983180,46220,11/22/2014
15983181,46077,11/22/2014
15983187,46204,11/22/2014
15983200,46112,11/22/2014
15983205,46032,11/22/2014
15983206,46062,11/22/2014
15983210,46220,11/22/2014
